タイプ,ノーマル,ほのお,みず,くさ,でんき,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,
ヒラヒナ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
クエスパトラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヒポポタス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カバルドン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ワルビル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ワルビアル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スナヘビ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サダイジャ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バンバドロ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
メラルバ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウルガモス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タツベイ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コモルー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ボーマンダ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ナカヌチャン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デカヌチャン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミブリム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
テブリム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブリムオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ギモー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オーロンゲ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウミディグダ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウミトリオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オトシドリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ナミイルカ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブロロン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブロロローム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モトトカゲ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミミズズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤミラミ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ジュペッタ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タイレーツ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルチャブル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オンバット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オンバーン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドラメシヤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドロンチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドラパルト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キラーメ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キラフロル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ロトム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ボチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハカドッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤレユータン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ナゲツケサル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ネッコアラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヨーギラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サナギラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バンギラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イシヘンジン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コオリッポ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バチンウニ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スナバァ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤドン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤドラン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤドキング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
トリトドン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シェルダー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パルシェン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハリーセン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ラブカス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケイコウオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ネオラント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハギギシリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ママンボウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドラミドロ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウデッポウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブロスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シビシラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シビビール,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シビルドン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヒドイデ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
